the;9948;7.2661933561223595%
and;4429;3.235019136938674%
to;3376;2.4658895024395946%
a;3058;2.233616735325912%
of;3024;2.208782540099921%
in;2534;1.8508779618429894%
was;1839;1.343237794723464%
his;1763;1.2877260642183073%
that;1646;1.2022672159406316%
s;1584;1.1569813305285301%
with;1562;1.1409121453823006%
it;1451;1.0598358021445058%
I;1407;1.0276974318520467%
on;1404;1.0255061793321063%
he;1364;0.9962894790662342%
you;1192;0.8706576679229848%
The;1047;0.7647471294591989%
at;941;0.6873228737546382%
had;851;0.6215852981564262%
from;834;0.6091682005434306%
not;815;0.5952902679171415%
for;754;0.5507348000116867%
her;683;0.49887515703976393%
him;682;0.4981447395331171%
out;637;0.46527595173401115%
as;631;0.46089344669413035%
Margarita;615;0.4492067665877816%
And;591;0.4316767464282584%
one;589;0.4302159114149648%
but;577;0.4214509013352032%
no;565;0.4126858912554416%
is;564;0.4119554737487948%
this;564;0.4119554737487948%
be;560;0.4090338037222076%
by;545;0.39807754112250565%
up;536;0.39150378356268445%
said;499;0.3644783358167529%
all;497;0.36301750080345924%
me;483;0.35279165571040405%
there;476;0.3476787331638765%
t;451;0.3294182954977065%
into;411;0.30020159523183454%
man;406;0.2965495076986005%
some;403;0.2943582551786601%
she;379;0.27682823501913695%
He;373;0.27244572997925615%
were;372;0.2717153124726093%
Ivan;361;0.26368071989949454%
who;352;0.25710696233967334%
so;352;0.25710696233967334%
an;347;0.25345487480643936%
what;340;0.24834195225991176%
But;326;0.23811610716685658%
eyes;326;0.23811610716685658%
have;307;0.22423817454056738%
down;299;0.218394834487393%
about;291;0.2125514944342186%
then;289;0.211090659420925%
did;283;0.2067081543810442%
began;280;0.2045169018611038%
It;279;0.203786484354457%
over;276;0.2015952318345166%
my;270;0.1972127267946358%
which;269;0.19648230928798902%
them;269;0.19648230928798902%
Woland;266;0.19429105676804861%
now;265;0.19356063926140182%
been;262;0.19136938674146142%
head;254;0.18552604668828704%
would;254;0.18552604668828704%
came;254;0.18552604668828704%
they;246;0.17968270663511263%
time;245;0.17895228912846584%
asked;244;0.17822187162181904%
himself;244;0.17822187162181904%
little;239;0.17456978408858503%
your;238;0.17383936658193824%
cat;234;0.17091769655535105%
replied;231;0.16872644403541065%
Koroviev;231;0.16872644403541065%
A;228;0.16653519151547025%
